amplification_factor,batch_index,counts_json,grover_power,job_id,one_counts,p_hw_raw,recovered_from_session_id,repeat_index,shots,zero_counts
1,23,"{""0"": 2630, ""1"": 1466}",0,,1466,0.35791015625,,1,4096,2630
1,47,"{""0"": 2596, ""1"": 1500}",0,,1500,0.3662109375,,0,4096,2596
1,74,"{""0"": 2566, ""1"": 1530}",0,,1530,0.37353515625,,2,4096,2566
3,42,"{""0"": 611, ""1"": 3485}",1,,3485,0.850830078125,,2,4096,611
3,52,"{""0"": 616, ""1"": 3480}",1,,3480,0.849609375,,0,4096,616
3,57,"{""0"": 624, ""1"": 3472}",1,,3472,0.84765625,,1,4096,624
5,10,"{""0"": 3850, ""1"": 246}",2,,246,0.06005859375,,1,4096,3850
5,22,"{""0"": 3885, ""1"": 211}",2,,211,0.051513671875,,0,4096,3885
5,31,"{""0"": 3853, ""1"": 243}",2,,243,0.059326171875,,2,4096,3853
7,46,"{""0"": 465, ""1"": 3631}",3,,3631,0.886474609375,,0,4096,465
7,60,"{""0"": 493, ""1"": 3603}",3,,3603,0.879638671875,,2,4096,493
7,63,"{""0"": 489, ""1"": 3607}",3,,3607,0.880615234375,,1,4096,489
9,8,"{""0"": 2989, ""1"": 1107}",4,,1107,0.270263671875,,2,4096,2989
9,14,"{""0"": 2993, ""1"": 1103}",4,,1103,0.269287109375,,0,4096,2993
9,76,"{""0"": 2942, ""1"": 1154}",4,,1154,0.28173828125,,1,4096,2942
11,19,"{""0"": 1997, ""1"": 2099}",5,,2099,0.512451171875,,2,4096,1997
11,64,"{""0"": 1988, ""1"": 2108}",5,,2108,0.5146484375,,0,4096,1988
11,73,"{""0"": 2006, ""1"": 2090}",5,,2090,0.51025390625,,1,4096,2006
13,26,"{""0"": 1261, ""1"": 2835}",6,,2835,0.692138671875,,2,4096,1261
13,49,"{""0"": 1220, ""1"": 2876}",6,,2876,0.7021484375,,1,4096,1220
13,56,"{""0"": 1254, ""1"": 2842}",6,,2842,0.69384765625,,0,4096,1254
15,9,"{""0"": 3413, ""1"": 683}",7,,683,0.166748046875,,2,4096,3413
15,55,"{""0"": 3347, ""1"": 749}",7,,749,0.182861328125,,1,4096,3347
15,75,"{""0"": 3407, ""1"": 689}",7,,689,0.168212890625,,0,4096,3407
17,17,"{""0"": 653, ""1"": 3443}",8,,3443,0.840576171875,,2,4096,653
17,37,"{""0"": 631, ""1"": 3465}",8,,3465,0.845947265625,,0,4096,631
17,65,"{""0"": 650, ""1"": 3446}",8,,3446,0.84130859375,,1,4096,650
19,15,"{""0"": 3118, ""1"": 978}",9,,978,0.23876953125,,1,4096,3118
19,34,"{""0"": 3090, ""1"": 1006}",9,,1006,0.24560546875,,0,4096,3090
19,77,"{""0"": 3116, ""1"": 980}",9,,980,0.2392578125,,2,4096,3116
21,6,"{""0"": 1601, ""1"": 2495}",10,,2495,0.609130859375,,0,4096,1601
21,20,"{""0"": 1665, ""1"": 2431}",10,,2431,0.593505859375,,2,4096,1665
21,61,"{""0"": 1651, ""1"": 2445}",10,,2445,0.596923828125,,1,4096,1651
23,18,"{""0"": 1797, ""1"": 2299}",11,,2299,0.561279296875,,1,4096,1797
23,40,"{""0"": 1712, ""1"": 2384}",11,,2384,0.58203125,,2,4096,1712
23,59,"{""0"": 1793, ""1"": 2303}",11,,2303,0.562255859375,,0,4096,1793
25,38,"{""0"": 2866, ""1"": 1230}",12,,1230,0.30029296875,,0,4096,2866
25,54,"{""0"": 2879, ""1"": 1217}",12,,1217,0.297119140625,,2,4096,2879
25,58,"{""0"": 2883, ""1"": 1213}",12,,1213,0.296142578125,,1,4096,2883
27,7,"{""0"": 964, ""1"": 3132}",13,,3132,0.7646484375,,2,4096,964
27,39,"{""0"": 941, ""1"": 3155}",13,,3155,0.770263671875,,1,4096,941
27,69,"{""0"": 939, ""1"": 3157}",13,,3157,0.770751953125,,0,4096,939
29,2,"{""0"": 3054, ""1"": 1042}",14,,1042,0.25439453125,,2,4096,3054
29,25,"{""0"": 3028, ""1"": 1068}",14,,1068,0.2607421875,,1,4096,3028
29,48,"{""0"": 3025, ""1"": 1071}",14,,1071,0.261474609375,,0,4096,3025
31,0,"{""0"": 1443, ""1"": 2653}",15,,2653,0.647705078125,,2,4096,1443
31,66,"{""0"": 1451, ""1"": 2645}",15,,2645,0.645751953125,,0,4096,1451
31,72,"{""0"": 1414, ""1"": 2682}",15,,2682,0.65478515625,,1,4096,1414
33,28,"{""0"": 2161, ""1"": 1935}",16,,1935,0.472412109375,,2,4096,2161
33,32,"{""0"": 2177, ""1"": 1919}",16,,1919,0.468505859375,,0,4096,2177
33,67,"{""0"": 2125, ""1"": 1971}",16,,1971,0.481201171875,,1,4096,2125
35,1,"{""0"": 2575, ""1"": 1521}",17,,1521,0.371337890625,,0,4096,2575
35,21,"{""0"": 2460, ""1"": 1636}",17,,1636,0.3994140625,,2,4096,2460
35,44,"{""0"": 2502, ""1"": 1594}",17,,1594,0.38916015625,,1,4096,2502
37,29,"{""0"": 1268, ""1"": 2828}",18,,2828,0.6904296875,,0,4096,1268
37,45,"{""0"": 1270, ""1"": 2826}",18,,2826,0.68994140625,,1,4096,1270
37,50,"{""0"": 1240, ""1"": 2856}",18,,2856,0.697265625,,2,4096,1240
39,4,"{""0"": 2893, ""1"": 1203}",19,,1203,0.293701171875,,2,4096,2893
39,5,"{""0"": 2924, ""1"": 1172}",19,,1172,0.2861328125,,1,4096,2924
39,53,"{""0"": 2895, ""1"": 1201}",19,,1201,0.293212890625,,0,4096,2895
41,24,"{""0"": 1355, ""1"": 2741}",20,,2741,0.669189453125,,1,4096,1355
41,30,"{""0"": 1353, ""1"": 2743}",20,,2743,0.669677734375,,0,4096,1353
41,43,"{""0"": 1332, ""1"": 2764}",20,,2764,0.6748046875,,2,4096,1332
43,12,"{""0"": 2344, ""1"": 1752}",21,,1752,0.427734375,,2,4096,2344
43,16,"{""0"": 2303, ""1"": 1793}",21,,1793,0.437744140625,,0,4096,2303
43,41,"{""0"": 2321, ""1"": 1775}",21,,1775,0.433349609375,,1,4096,2321
45,35,"{""0"": 2188, ""1"": 1908}",22,,1908,0.4658203125,,0,4096,2188
45,36,"{""0"": 2151, ""1"": 1945}",22,,1945,0.474853515625,,2,4096,2151
45,70,"{""0"": 2190, ""1"": 1906}",22,,1906,0.46533203125,,1,4096,2190
47,3,"{""0"": 1513, ""1"": 2583}",23,,2583,0.630615234375,,0,4096,1513
47,13,"{""0"": 1524, ""1"": 2572}",23,,2572,0.6279296875,,1,4096,1524
47,33,"{""0"": 1585, ""1"": 2511}",23,,2511,0.613037109375,,2,4096,1585
49,11,"{""0"": 2741, ""1"": 1355}",24,,1355,0.330810546875,,1,4096,2741
49,27,"{""0"": 2782, ""1"": 1314}",24,,1314,0.32080078125,,0,4096,2782
49,51,"{""0"": 2756, ""1"": 1340}",24,,1340,0.3271484375,,2,4096,2756
51,62,"{""0"": 1394, ""1"": 2702}",25,,2702,0.65966796875,,0,4096,1394
51,68,"{""0"": 1428, ""1"": 2668}",25,,2668,0.6513671875,,2,4096,1428
51,71,"{""0"": 1421, ""1"": 2675}",25,,2675,0.653076171875,,1,4096,1421
53,16,"{""0"": 2269, ""1"": 1827}",26,d7osc15pb8as73c2u090,1827,0.446044921875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2269
53,25,"{""0"": 2322, ""1"": 1774}",26,d7oscqju0eis73bm8h4g,1774,0.43310546875,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2322
55,24,"{""0"": 1854, ""1"": 2242}",27,d7osco3u0eis73bm8h20,2242,0.54736328125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,1854
57,7,"{""0"": 2285, ""1"": 1811}",28,d7osb7ru0eis73bm8fj0,1811,0.442138671875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2285
57,15,"{""0"": 2335, ""1"": 1761}",28,d7osbultq41c73a8sqsg,1761,0.429931640625,a3ce3623-31cc-4e22-9903-7d37c49d1180,1,4096,2335
57,21,"{""0"": 2325, ""1"": 1771}",28,d7oscf6m3bns73cdgea0,1771,0.432373046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2325
59,13,"{""0"": 1944, ""1"": 2152}",29,d7osbo3u0eis73bm8g20,2152,0.525390625,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,1944
59,26,"{""0"": 2062, ""1"": 2034}",29,d7oscu5tq41c73a8srqg,2034,0.49658203125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2062
61,3,"{""0"": 2203, ""1"": 1893}",30,d7osasru0eis73bm8f80,1893,0.462158203125,a3ce3623-31cc-4e22-9903-7d37c49d1180,0,4096,2203
61,6,"{""0"": 2130, ""1"": 1966}",30,d7osb55tq41c73a8sq30,1966,0.47998046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2130
63,9,"{""0"": 2197, ""1"": 1899}",31,d7osbcmm3bns73cdgd90,1899,0.463623046875,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,2197
65,5,"{""0"": 1843, ""1"": 2253}",32,d7osb1ju0eis73bm8fcg,2253,0.550048828125,a3ce3623-31cc-4e22-9903-7d37c49d1180,2,4096,1843
